"run_id","source_file","curation_status","scenario_id","treatment","treatment_pair_id","repetition"
"phase05_20260607_214908_0cfa1281","data/logs/phase05_experiments/raw/phase05_20260607_214908_0cfa1281_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R04","4"
"phase05_20260607_215108_40cc496d","data/logs/phase05_experiments/raw/phase05_20260607_215108_40cc496d_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R04","4"
"phase05_20260607_221808_a9cca7d9","data/logs/phase05_experiments/raw/phase05_20260607_221808_a9cca7d9_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R05","5"
"phase05_20260607_222051_9a36760b","data/logs/phase05_experiments/raw/phase05_20260607_222051_9a36760b_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R05","5"
"phase05_20260607_222951_4917c63d","data/logs/phase05_experiments/raw/phase05_20260607_222951_4917c63d_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R06","6"
"phase05_20260607_223443_4e22bf09","data/logs/phase05_experiments/raw/phase05_20260607_223443_4e22bf09_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R06","6"
"phase05_20260607_223645_2c1bd3fd","data/logs/phase05_experiments/raw/phase05_20260607_223645_2c1bd3fd_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R07","7"
"phase05_20260607_224019_fb919ed7","data/logs/phase05_experiments/raw/phase05_20260607_224019_fb919ed7_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R07","7"
"phase05_20260607_224226_6ceb231e","data/logs/phase05_experiments/raw/phase05_20260607_224226_6ceb231e_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R08","8"
"phase05_20260607_224448_37f56610","data/logs/phase05_experiments/raw/phase05_20260607_224448_37f56610_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R08","8"
"phase05_20260607_230102_0bf4d95d","data/logs/phase05_experiments/raw/phase05_20260607_230102_0bf4d95d_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R09","9"
"phase05_20260607_230316_de152728","data/logs/phase05_experiments/raw/phase05_20260607_230316_de152728_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R09","9"
