factor,level,n_pairs,final_error_delta_mean_t0_minus_t1,landing_time_delta_mean_t0_minus_t1,detection_rate_delta_mean_t1_minus_t0
height_m,2.0,40,0.5612371773413569,-8.4453,0.41305988030780616
height_m,3.0,40,0.5637464442208108,-8.054325,0.2047961528149959
offset_y_m,0.4,40,0.38080237830239305,-6.5286,0.165865494226374
offset_y_m,0.8,40,0.7441812432597746,-9.971025000000001,0.45199053889642815
yaw_deg,0.0,40,0.5525191182445648,-8.133275000000001,0.2863311265246696
yaw_deg,15.0,40,0.572464503317603,-8.36635,0.3315249065981326
