scope,scenario_short,scenario_id,treatment,metric,n,mean,median,sd,min,q1,q3,max
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,total_duration_s,10,22.5683,23.075499999999998,3.0730055519348194,19.019,19.471999999999998,25.233,26.246
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,accepted_detection_rate,10,0.7085078598942381,0.7241532976827094,0.08405492033737105,0.5909090909090909,0.6356462179868969,0.7722222222222223,0.8372093023255814
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,lost_detection_count,10,17.3,16.5,6.8807299354388585,7.0,12.0,22.5,27.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,latency_ms_mean,10,118.26748881663411,115.5330614973262,12.843614270968914,101.62944444444445,109.49489793281654,122.647777446893,143.26590909090908
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,latency_ms_max,10,216.965,216.715,12.119795790358848,193.64,211.9675,224.4175,234.59
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,mean_abs_error_x_norm,10,0.1619368461452518,0.17350600481033326,0.07078911905267571,0.04875457597815472,0.11890221332642872,0.19902655323346458,0.2774794365678515
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,std_error_x_norm,10,0.024170742721239966,0.02051122182380153,0.01811038378478963,0.0049803415308928515,0.015851645857441168,0.02646064968304572,0.06748749939505531
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,mean_abs_error_y_norm,10,0.25166949177248227,0.2548380049952754,0.06653813485938945,0.15222610519045876,0.20135295094228256,0.29542884453624285,0.3549009779225225
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,std_error_y_norm,10,0.03407028312017271,0.034737083771024836,0.010133372021639706,0.0194149171802612,0.02616936399334829,0.04165823675576805,0.047415173075426004
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,max_abs_horizontal_command_m_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,command_count,10,58.3,58.5,12.534840334931364,43.0,46.5,69.0,73.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T0,descent_command_count,10,58.3,58.5,12.534840334931364,43.0,46.5,69.0,73.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,final_error_m,10,0.01717945505883133,0.019624217950586012,0.006772669373683159,0.007117102802261861,0.011812459731147924,0.02169614756080286,0.026943840759014247
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,landing_time_s,10,22.18,21.1055,3.463562424248576,17.761,19.691,25.311999999999998,26.882
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,total_duration_s,10,29.4806,28.6835,3.342096321505743,25.025,27.3735,32.214749999999995,34.238
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,accepted_detection_rate,10,0.9955577830577831,1.0,0.007595649089398167,0.9819819819819819,0.9935897435897436,1.0,1.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,lost_detection_count,10,0.5,0.0,0.8498365855987975,0.0,0.0,0.75,2.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,latency_ms_mean,10,80.61280382132323,80.70638684100709,2.5000102704016656,76.38325,79.13414211964773,82.11265840517241,85.02897435897435
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,latency_ms_max,10,135.344,128.945,36.49483592083802,94.64,110.535,140.2875,220.16
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,mean_abs_error_x_norm,10,0.0464248628421744,0.04959780082420961,0.023281913150425042,0.0101096604087136,0.027255957068208606,0.060818175074936115,0.07889763355255128
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,std_error_x_norm,10,0.035633672862192226,0.038820664010303846,0.01841631919642077,0.008281974703682155,0.02485135150169424,0.04998928723867322,0.06256304996081163
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,mean_abs_error_y_norm,10,0.060791354835291495,0.06785070289627203,0.021007482817157513,0.018490850130716958,0.04768176503414546,0.07473476407171666,0.08602685405232231
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,std_error_y_norm,10,0.06356567758016987,0.06751392807450844,0.02234429407068348,0.023223039882675767,0.052172380953263466,0.08267533609414635,0.08643243247185729
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,max_abs_horizontal_command_m_s,10,0.06388421694437663,0.06279315153757731,0.013352211485252681,0.04725661277770996,0.052735328674316406,0.07631635665893555,0.08074723879496257
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,command_count,10,97.7,91.0,15.613740387520503,79.0,87.5,111.75,120.0
scenario_treatment,S02,P05_S02_H2_Y04_YAW15,T1,descent_command_count,10,61.8,60.5,14.733182502998687,41.0,50.25,74.0,85.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,final_error_m,10,0.7850184555367189,0.7695693758006341,0.03891525184121285,0.7433172644744627,0.7588395659212568,0.8122268965518782,0.8578794072651086
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,landing_time_s,10,13.4011,13.2935,2.0802081332832483,11.087,11.498,15.437,15.62
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,total_duration_s,10,21.0639,20.811500000000002,2.1970366127531373,18.255,19.152749999999997,23.30275,23.42
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,accepted_detection_rate,10,0.3843462029364167,0.3892857142857143,0.2813172602555219,0.0,0.20875959079283887,0.6524216524216524,0.6792452830188679
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,lost_detection_count,10,24.3,23.0,7.149980574954188,17.0,18.0,29.25,36.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,latency_ms_mean,10,180.38258315211837,171.12916911764705,47.339225885964574,132.0973076923077,141.40481132075473,203.61307142857146,266.802
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,latency_ms_max,10,314.533,303.13,71.74591742934072,229.74,256.645,380.6825,417.52
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,mean_abs_error_x_norm,8,0.3706509144266745,0.45283379505551047,0.14582030867739162,0.06282462120056152,0.2962473773530552,0.4578076274455095,0.48744504018263385
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,std_error_x_norm,8,0.03379235279236435,0.04482956447041204,0.025272695283549793,0.003126062257508087,0.005322081294619368,0.05237144304130568,0.062799475422369
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,mean_abs_error_y_norm,8,0.3742143534558878,0.3033467285216801,0.12721098648117385,0.27174066452752976,0.28088871654979686,0.46979313450200216,0.6101230398813884
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,std_error_y_norm,8,0.026300364030918143,0.024750372484920798,0.014202979262481572,0.010778512783716493,0.014761450012976265,0.03358171105324062,0.047759587687801
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,max_abs_horizontal_command_m_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,command_count,10,43.0,43.0,9.626352718795768,30.0,34.25,52.75,54.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T0,descent_command_count,10,43.0,43.0,9.626352718795768,30.0,34.25,52.75,54.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,final_error_m,10,0.01976916853346678,0.020304024760605055,0.011507296907645004,0.0017543251866865795,0.012048556582262426,0.02418737036459068,0.037745122546757964
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,landing_time_s,10,23.8521,24.526,1.6576029178706622,21.291,22.349249999999998,25.0965,26.076
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,total_duration_s,10,31.4988,32.216499999999996,1.761886602480421,29.204,29.6655,32.959,33.573
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,accepted_detection_rate,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,lost_detection_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,latency_ms_mean,10,84.04272618475693,81.26935990338164,5.9574239784861,77.8432142857143,79.68334490740742,88.54550526315789,94.38741379310345
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,latency_ms_max,10,136.262,131.615,30.24676614486617,97.87,109.4075,162.8425,175.21
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,mean_abs_error_x_norm,10,0.07955975142418958,0.11483446340901513,0.05137306606643071,0.017535835725289804,0.020841689744671644,0.12009227704284782,0.1253397027651469
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,std_error_x_norm,10,0.07549268997285473,0.10890442958403786,0.04914072751450479,0.014149570334849227,0.021063872435236018,0.11481248010802902,0.11774328654634815
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,mean_abs_error_y_norm,10,0.11019190965052361,0.09682731029722424,0.04159938188717357,0.05456345592226301,0.0839515625257514,0.15530616605266606,0.15906067924734987
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,std_error_y_norm,10,0.1147389870421455,0.09380321837667852,0.051157565384783533,0.05477740736765178,0.07132001437746611,0.17085161953771172,0.1766607551558009
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,max_abs_horizontal_command_m_s,10,0.09937954187393189,0.1,0.0012817588120399884,0.09600484371185303,0.09942788481712342,0.1,0.1
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,command_count,10,104.7,108.0,8.300602387778854,92.0,97.0,111.0,116.0
scenario_treatment,S03,P05_S03_H2_Y08_YAW0,T1,descent_command_count,10,52.0,52.5,5.312459150169742,45.0,47.5,56.0,59.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,final_error_m,10,0.764196195715995,0.7505141595092517,0.051542161395890046,0.6968782243048846,0.7246187699232336,0.8062907631233608,0.8419657493635678
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,landing_time_s,10,13.8809,13.831,1.3712786774070074,12.037,12.695,15.01375,15.618
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,total_duration_s,10,21.5413,21.521,1.3200169232921894,19.903,20.259249999999998,22.825,23.156
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,accepted_detection_rate,10,0.39544926755578,0.35049627791563276,0.1781342710729398,0.18,0.2574614065180103,0.5416666666666667,0.6923076923076923
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,lost_detection_count,10,28.9,28.0,10.836666154003884,12.0,20.5,39.0,42.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,latency_ms_mean,10,175.2896385919537,146.58536603773587,59.1103295743449,125.44625,137.3257614764268,202.92007692307692,312.4914814814815
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,latency_ms_max,10,293.146,207.48000000000002,137.04984066633082,168.86,199.4625,354.875,532.68
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,mean_abs_error_x_norm,10,0.3159703863910274,0.3401634005939259,0.11137522174656284,0.07232912670482289,0.2637880017207219,0.37287556733025445,0.4658420315495244
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,std_error_x_norm,10,0.021483926961372486,0.026188164814274557,0.016618341529193257,0.002065886850381695,0.003918292978376519,0.030987820894093646,0.044010199745011754
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,mean_abs_error_y_norm,10,0.4416810278000465,0.45018138636171423,0.07509269552471749,0.30208317791974104,0.42420491943937355,0.4922378897055602,0.551978654572458
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,std_error_y_norm,10,0.02174466241035316,0.022220638718098797,0.007745160048099128,0.00651833448864594,0.019039366844568358,0.02559312344610341,0.0320162884834461
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,max_abs_horizontal_command_m_s,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,command_count,10,47.5,49.0,9.629237883769527,27.0,44.25,52.75,62.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T0,descent_command_count,10,47.5,49.0,9.629237883769527,27.0,44.25,52.75,62.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,final_error_m,10,0.026528451714377458,0.026499264631924126,0.009941185304559048,0.013390962671621666,0.017541568383112223,0.033952332144528516,0.041017649532215664
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,landing_time_s,10,23.0627,23.521500000000003,1.685074152671033,19.963,21.92925,24.449,24.761
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,total_duration_s,10,30.6628,31.089,1.6516080245223645,27.319,29.517500000000002,31.994500000000002,32.127
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,accepted_detection_rate,10,0.9978947368421053,1.0,0.006657426652986047,0.9789473684210527,1.0,1.0,1.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,lost_detection_count,10,0.2,0.0,0.6324555320336759,0.0,0.0,0.0,2.0
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,latency_ms_mean,10,80.01197171893905,75.97109273182957,24.488203558316712,52.062990654205606,56.6720826120824,106.54284722222222,109.17913461538461
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,latency_ms_max,10,139.403,129.435,52.22293494667304,90.19,95.4525,162.4025,236.76
scenario_treatment,S04,P05_S04_H2_Y08_YAW15,T1,mean_abs_error_x_norm,10,0.09303621862868443,0.09244648664717015,0.029666928490891586,0.036867157105476625,0.07890009449035232,0.11004558246151931,0.13427954355875651
