scenario_short,scenario_id,height_m,offset_y_m,yaw_deg,n_pairs,final_error_t0_mean,final_error_t1_mean,final_error_delta_mean_t0_minus_t1,final_error_reduction_ratio,landing_time_t0_mean,landing_time_t1_mean,landing_time_delta_mean_t0_minus_t1,landing_time_increase_ratio,detection_rate_t0_mean,detection_rate_t1_mean,detection_rate_delta_mean_t1_minus_t0
S01,P05_S01_H2_Y04_YAW0,2.0,0.4,0.0,10,0.3996982068036806,0.020533507078419493,0.3791646997252611,0.948627472605838,19.6737,26.8151,-7.141400000000001,0.3629922180372782,0.841861676031028,0.9889520077487992,0.14709033171777125
S02,P05_S02_H2_Y04_YAW15,2.0,0.4,15.0,10,0.3800464336941281,0.01717945505883133,0.36286697863529677,0.9547964313417086,15.173,22.18,-7.007,0.46180715745073486,0.7085078598942381,0.9955577830577831,0.2870499231635449
S03,P05_S03_H2_Y08_YAW0,2.0,0.8,0.0,10,0.7850184555367189,0.01976916853346678,0.7652492870032521,0.9748169378770203,13.4011,23.8521,-10.451,0.7798613546649157,0.3843462029364167,1.0,0.6156537970635834
S04,P05_S04_H2_Y08_YAW15,2.0,0.8,15.0,10,0.764196195715995,0.026528451714377458,0.7376677440016175,0.9652858102891728,13.8809,23.0627,-9.1818,0.661470077588629,0.39544926755578,0.9978947368421053,0.6024454692863253
S05,P05_S05_H3_Y04_YAW0,3.0,0.4,0.0,10,0.3435520307764746,0.021503824542619548,0.32204820623385505,0.9374073717625305,25.6573,30.3875,-4.7302,0.18436078620899315,0.8863678771095717,1.0,0.1136321228904283
S06,P05_S06_H3_Y04_YAW15,3.0,0.4,15.0,10,0.47564879001763977,0.01651916140248051,0.4591296286151592,0.9652702545467047,25.6391,32.8749,-7.2358,0.28221739452632894,0.8843104008662483,1.0,0.11568959913375162
S07,P05_S07_H3_Y08_YAW0,3.0,0.8,0.0,10,0.7660185992886959,0.02240431927280521,0.7436142800158907,0.9707522515855239,26.601,36.8115,-10.210500000000001,0.3838389534228037,0.7310517455731047,1.0,0.2689482544268953
S08,P05_S08_H3_Y08_YAW15,3.0,0.8,15.0,10,0.7507203754319871,0.020526713413648593,0.7301936620183385,0.9726573114499031,25.0928,35.1336,-10.0408,0.4001466556143595,0.6790853651910914,1.0,0.3209146348089086
